DATE,SPCS10RSA
1987-01-01,63.103813643947
1987-02-01,63.804971994368
1987-03-01,64.425674061484
1987-04-01,65.06339252205599
1987-05-01,65.815102925534
1987-06-01,66.47717136509
1987-07-01,67.121362840554
1987-08-01,67.713656560201
1987-09-01,68.35446404198599
1987-10-01,68.99160442805899
1987-11-01,69.569333938095
1987-12-01,70.307761524651
1988-01-01,70.756606945868
1988-02-01,71.24097250669699
1988-03-01,71.741918586186
1988-04-01,72.20274157533301
1988-05-01,72.75907480668499
1988-06-01,73.497716332557
1988-07-01,74.339543590096
1988-08-01,75.093191358655
1988-09-01,75.82496821535901
1988-10-01,76.427172039116
1988-11-01,77.075882866985
1988-12-01,77.679398771756
1989-01-01,78.326359659829
1989-02-01,78.899014638903
1989-03-01,79.819909478309
1989-04-01,80.44194836525699
1989-05-01,80.831877862936
1989-06-01,81.073507009628
1989-07-01,81.139316371294
1989-08-01,81.403007545786
1989-09-01,81.620079431848
1989-10-01,81.939801685198
1989-11-01,82.226264554936
1989-12-01,82.474829755418
1990-01-01,82.649826670402
1990-02-01,82.729536237427
1990-03-01,82.75902918542499
1990-04-01,82.684298540751
1990-05-01,82.334041392296
1990-06-01,81.99313003689001
1990-07-01,81.574016432684
1990-08-01,81.169265256477
1990-09-01,80.765285272135
1990-10-01,80.362491082291
1990-11-01,79.905850285435
1990-12-01,79.51681210525601
1991-01-01,78.86895217894201
1991-02-01,78.33569009226301
1991-03-01,77.707146143221
1991-04-01,77.452366104365
1991-05-01,77.596422560078
1991-06-01,77.807823165674
1991-07-01,78.094504956467
1991-08-01,78.249835925721
1991-09-01,78.269983567618
1991-10-01,78.237162221698
1991-11-01,78.14625264016401
1991-12-01,78.149618908837
1992-01-01,78.073043963862
1992-02-01,78.079005146384
1992-03-01,78.00919344062899
1992-04-01,77.950058483731
1992-05-01,77.894899099987
1992-06-01,77.70097001126
1992-07-01,77.430626512519
1992-08-01,77.305733207715
1992-09-01,77.152597845741
1992-10-01,77.029038492238
1992-11-01,76.957137395947
1992-12-01,76.86189393463701
1993-01-01,76.890659214996
1993-02-01,76.854669450209
1993-03-01,76.596744966076
1993-04-01,76.398576714655
1993-05-01,76.270274651935
1993-06-01,76.261262920853
1993-07-01,76.090530082642
1993-08-01,75.90224095181699
1993-09-01,75.870390149372
1993-10-01,75.81051142833
1993-11-01,75.90266054847
1993-12-01,75.907566697238
1994-01-01,76.05659326113499
1994-02-01,76.227973265673
1994-03-01,76.40926043518
1994-04-01,76.57713817067899
1994-05-01,76.692584761713
1994-06-01,76.772149578385
1994-07-01,76.8652046688
1994-08-01,76.940706660985
1994-09-01,76.97002490804401
1994-10-01,77.098700146998
1994-11-01,77.13381064479
1994-12-01,77.212223047059
1995-01-01,77.202510128637
1995-02-01,77.278940568457
1995-03-01,77.056324855814
1995-04-01,76.884493301005
1995-05-01,76.772441124815
1995-06-01,76.66199527126
1995-07-01,76.702623733829
1995-08-01,76.748755584118
1995-09-01,76.82323662412699
1995-10-01,76.859018115157
1995-11-01,76.87784288798899
1995-12-01,76.918109329588
1996-01-01,76.988222048225
1996-02-01,77.117160746983
1996-03-01,77.166518902314
1996-04-01,77.338429973115
1996-05-01,77.47155729375599
1996-06-01,77.468786165416
1996-07-01,77.508665781513
1996-08-01,77.607997543801
1996-09-01,77.746789600302
1996-10-01,77.951595109845
1996-11-01,78.18379763064999
1996-12-01,78.379868249932
1997-01-01,78.57054552424
1997-02-01,78.72270620918
1997-03-01,78.990169836647
1997-04-01,79.24813036447
1997-05-01,79.52593735685299
1997-06-01,79.906871556494
1997-07-01,80.218184871767
1997-08-01,80.60920171481
1997-09-01,80.91075510426799
1997-10-01,81.415259405722
1997-11-01,81.95754084247599
1997-12-01,82.59145907972
1998-01-01,83.262982288686
1998-02-01,83.967526406651
1998-03-01,84.6241368182
1998-04-01,85.185198741501
1998-05-01,85.856688674986
1998-06-01,86.62891211910299
1998-07-01,87.430069246515
1998-08-01,88.142875329591
1998-09-01,88.851162543395
1998-10-01,89.345365223269
1998-11-01,89.73197525438499
1998-12-01,90.137675042609
1999-01-01,90.71006810066
1999-02-01,91.43560698676599
1999-03-01,92.133323098727
1999-04-01,93.051290103118
1999-05-01,93.754063096706
1999-06-01,94.64830461009899
1999-07-01,95.502276282357
1999-08-01,96.379738235126
1999-09-01,97.196426204958
1999-10-01,97.975328600423
1999-11-01,98.893565815929
1999-12-01,99.86607081792299
2000-01-01,100.74530275680901
2000-02-01,101.89316887434099
2000-03-01,103.15434987626999
2000-04-01,104.53084254116399
2000-05-01,106.011979184951
2000-06-01,107.335543155669
2000-07-01,108.170753313664
2000-08-01,109.067593693269
2000-09-01,110.027065125023
2000-10-01,111.17161653464
2000-11-01,112.50215171474899
2000-12-01,113.93133924102
2001-01-01,115.43028063880699
2001-02-01,116.691298545973
2001-03-01,117.72486374240299
2001-04-01,118.50031383707199
2001-05-01,118.952873732162
2001-06-01,119.502232530167
2001-07-01,120.10229878655599
2001-08-01,120.95429746692301
2001-09-01,121.952149260732
2001-10-01,122.809646549588
2001-11-01,123.622555583833
2001-12-01,124.01941749752399
2002-01-01,124.827263550233
2002-02-01,125.758570229811
2002-03-01,127.035211627673
2002-04-01,128.53968661944901
2002-05-01,130.339861773529
2002-06-01,132.216693070952
2002-07-01,134.097853713557
2002-08-01,135.954579971258
2002-09-01,137.607004116338
2002-10-01,139.368105629738
2002-11-01,141.007026101835
2002-12-01,142.565322169044
2003-01-01,143.862099164637
2003-02-01,145.040777014535
2003-03-01,146.136441532106
2003-04-01,147.139667507906
2003-05-01,148.192369728633
2003-06-01,149.132048519123
2003-07-01,150.646600849436
2003-08-01,152.435292860265
