DATE,CSUSHPISA_CPIAUCSL
2006-04-01,99.48285
2006-05-01,99.09324
2006-06-01,98.49936
2006-07-01,97.73046
2006-08-01,97.04695
2006-09-01,97.63551
2006-10-01,98.28587
2006-11-01,98.45761
2006-12-01,98.20702
2007-01-01,98.24506
2007-02-01,97.90847
2007-03-01,97.16506
2007-04-01,96.27518
2007-05-01,95.14022
2007-06-01,94.21626
2007-07-01,93.45243
2007-08-01,92.90516
2007-09-01,92.22279
2007-10-01,91.45569
2007-11-01,89.98373
2007-12-01,89.31082
2008-01-01,88.38725
2008-02-01,87.36379
2008-03-01,86.29720
2008-04-01,85.22862
2008-05-01,83.88218
2008-06-01,82.19497
2008-07-01,80.89502
2008-08-01,80.23402
2008-09-01,79.33407
2008-10-01,79.03377
2008-11-01,79.34695
2008-12-01,78.71240
2009-01-01,77.43324
2009-02-01,76.39242
2009-03-01,75.77823
2009-04-01,75.34043
2009-05-01,75.10109
2009-06-01,74.68160
2009-07-01,74.86478
2009-08-01,74.54807
2009-09-01,74.27745
2009-10-01,73.96759
2009-11-01,73.86283
2009-12-01,73.72276
2010-01-01,73.40901
2010-02-01,72.60006
2010-03-01,72.68964
2010-04-01,72.94247
2010-05-01,72.97542
2010-06-01,72.66986
2010-07-01,72.17140
2010-08-01,71.53176
2010-09-01,70.97077
2010-10-01,70.48220
2010-11-01,70.12846
2010-12-01,69.79485
2011-01-01,69.30724
2011-02-01,68.51403
2011-03-01,67.98220
2011-04-01,67.67618
2011-05-01,67.40998
2011-06-01,67.38878
2011-07-01,67.14876
2011-08-01,66.73592
2011-09-01,66.28586
2011-10-01,65.90054
2011-11-01,65.39753
2011-12-01,65.15412
2012-01-01,64.94384
2012-02-01,64.76879
2012-03-01,65.28394
2012-04-01,65.76742
2012-05-01,66.37826
2012-06-01,66.84696
2012-07-01,67.12997
2012-08-01,67.02914
2012-09-01,67.00624
2012-10-01,67.15009
2012-11-01,67.72442
2012-12-01,68.16174
2013-01-01,68.65022
2013-02-01,68.72076
2013-03-01,69.93159
2013-04-01,70.80549
2013-05-01,71.39883
2013-06-01,71.85511
2013-07-01,72.37004
2013-08-01,72.83194
2013-09-01,73.38935
2013-10-01,73.81921
2013-11-01,74.06688
2013-12-01,74.29703
2014-01-01,74.55425
2014-02-01,74.74083
2014-03-01,74.84643
2014-04-01,74.84779
2014-05-01,74.82724
2014-06-01,74.90384
2014-07-01,75.05771
2014-08-01,75.36485
2014-09-01,75.67463
2014-10-01,76.02584
2014-11-01,76.48554
2014-12-01,77.05139
2015-01-01,77.82454
2015-02-01,77.84732
2015-03-01,77.94755
2015-04-01,78.09565
2015-05-01,78.10450
2015-06-01,78.14414
2015-07-01,78.32663
2015-08-01,78.70010
2015-09-01,79.28467
2015-10-01,79.64461
2015-11-01,79.97963
2015-12-01,80.43249
2016-01-01,80.81031
2016-02-01,81.08631
2016-03-01,81.07223
2016-04-01,81.03751
2016-05-01,81.14436
2016-06-01,81.19974
2016-07-01,81.58172
2016-08-01,81.89630
2016-09-01,82.11634
2016-10-01,82.33306
2016-11-01,82.67784
2016-12-01,82.89374
2017-01-01,83.05170
2017-02-01,83.15225
2017-03-01,83.51133
2017-04-01,83.75527
2017-05-01,84.21612
2017-06-01,84.53437
2017-07-01,84.91868
2017-08-01,85.14490
2017-09-01,85.17648
2017-10-01,85.54225
2017-11-01,85.78946
2017-12-01,86.12488
2018-01-01,86.30786
2018-02-01,86.49825
2018-03-01,86.82097
2018-04-01,86.98471
2018-05-01,87.10076
2018-06-01,87.29504
2018-07-01,87.48760
2018-08-01,87.68678
2018-09-01,87.75992
2018-10-01,87.81443
2018-11-01,88.07389
2018-12-01,88.28713
2019-01-01,88.49393
2019-02-01,88.46086
2019-03-01,88.27539
2019-04-01,88.27016
2019-05-01,88.49670
2019-06-01,88.64499
2019-07-01,88.66695
2019-08-01,88.90061
2019-09-01,89.03221
2019-10-01,89.06347
2019-11-01,89.24871
2019-12-01,89.50397
2020-01-01,89.81207
2020-02-01,90.15647
2020-03-01,90.89442
2020-04-01,91.97165
2020-05-01,92.14151
2020-06-01,91.87288
2020-07-01,92.03515
2020-08-01,92.87134
2020-09-01,93.99495
2020-10-01,95.42257
2020-11-01,96.64067
2020-12-01,97.59019
2021-01-01,98.63991
2021-02-01,99.49232
2021-03-01,100.47895
2021-04-01,101.54617
2021-05-01,102.67011
2021-06-01,103.64947
2021-07-01,104.79001
2021-08-01,105.92859
2021-09-01,106.75565
2021-10-01,106.95392
2021-11-01,107.47947
2021-12-01,108.32838
2022-01-01,109.40715
2022-02-01,110.70095
2022-03-01,111.65551
2022-04-01,112.95519
