DATE,SP500
2012-07-28,1354.5420000000000000
2012-08-04,1379.1500000000000000
2012-08-11,1401.2940000000000000
2012-08-18,1409.4480000000000000
2012-08-25,1411.6000000000000000
2012-09-01,1407.2580000000000000
2012-09-08,1419.6050000000000000
2012-09-15,1444.9920000000000000
2012-09-22,1460.3940000000000000
2012-09-29,1443.9240000000000000
2012-10-06,1452.7120000000000000
2012-10-13,1438.2700000000000000
2012-10-20,1449.2980000000000000
2012-10-27,1416.1180000000000000
2012-11-03,1417.9833333333333333
2012-11-10,1399.5080000000000000
2012-11-17,1364.6520000000000000
2012-11-24,1393.7200000000000000
2012-12-01,1409.4580000000000000
2012-12-08,1411.5600000000000000
2012-12-15,1421.5800000000000000
2012-12-22,1437.3600000000000000
2012-12-29,1416.7550000000000000
2013-01-05,1453.6125000000000000
2013-01-12,1464.8460000000000000
2013-01-19,1476.5140000000000000
2013-01-26,1496.2875000000000000
2013-02-02,1504.2520000000000000
2013-02-09,1509.2880000000000000
2013-02-16,1519.5880000000000000
2013-02-23,1515.2275000000000000
2013-03-02,1506.7320000000000000
2013-03-09,1540.3780000000000000
2013-03-16,1557.4300000000000000
2013-03-23,1552.3680000000000000
2013-03-30,1561.8750000000000000
2013-04-06,1559.8740000000000000
2013-04-13,1580.3260000000000000
2013-04-20,1555.1600000000000000
2013-04-27,1577.4940000000000000
2013-05-04,1597.1780000000000000
2013-05-11,1627.3040000000000000
2013-05-18,1652.1660000000000000
2013-05-25,1658.1820000000000000
2013-06-01,1648.3925000000000000
2013-06-08,1629.3280000000000000
2013-06-15,1628.9100000000000000
2013-06-22,1620.0800000000000000
2013-06-29,1596.7720000000000000
2013-07-06,1619.0850000000000000
2013-07-13,1660.1220000000000000
2013-07-20,1684.2260000000000000
2013-07-27,1691.1520000000000000
2013-08-03,1694.7120000000000000
2013-08-10,1696.8640000000000000
2013-08-17,1677.2340000000000000
2013-08-24,1652.3340000000000000
2013-08-31,1638.6720000000000000
2013-09-07,1650.7750000000000000
2013-09-14,1683.2480000000000000
2013-09-21,1712.0260000000000000
2013-09-28,1696.4900000000000000
2013-10-05,1687.9160000000000000
2013-10-12,1676.7460000000000000
2013-10-19,1721.4780000000000000
2013-10-26,1751.5100000000000000
2013-11-02,1763.1100000000000000
2013-11-09,1763.8300000000000000
2013-11-16,1782.0760000000000000
2013-11-23,1792.2760000000000000
2013-11-30,1804.5675000000000000
2013-12-07,1795.7960000000000000
2013-12-14,1788.8060000000000000
2013-12-21,1801.2220000000000000
2013-12-28,1836.1825000000000000
2014-01-04,1838.1950000000000000
2014-01-11,1836.5280000000000000
2014-01-18,1838.2100000000000000
2014-01-25,1826.8525000000000000
2014-02-01,1785.0080000000000000
2014-02-08,1763.8360000000000000
2014-02-15,1821.4620000000000000
2014-02-22,1836.3850000000000000
2014-03-01,1850.3260000000000000
2014-03-08,1869.7040000000000000
2014-03-15,1860.0940000000000000
2014-03-22,1866.0760000000000000
2014-03-29,1856.4560000000000000
2014-04-05,1880.5240000000000000
2014-04-12,1843.5900000000000000
2014-04-19,1850.1875000000000000
2014-04-26,1873.7680000000000000
2014-05-03,1879.3060000000000000
2014-05-10,1876.9400000000000000
2014-05-17,1886.2680000000000000
2014-05-24,1887.7920000000000000
2014-05-31,1916.3225000000000000
2014-06-07,1933.3980000000000000
2014-06-14,1942.4440000000000000
2014-06-21,1951.8200000000000000
2014-06-28,1958.0600000000000000
2014-07-05,1973.4025000000000000
2014-07-12,1969.2880000000000000
2014-07-19,1973.6580000000000000
2014-07-26,1982.0980000000000000
2014-08-02,1954.9500000000000000
2014-08-09,1924.1200000000000000
2014-08-16,1945.5260000000000000
2014-08-23,1984.1240000000000000
2014-08-30,1999.6340000000000000
2014-09-06,2002.0900000000000000
2014-09-13,1993.7320000000000000
2014-09-20,2001.2880000000000000
2014-09-27,1984.8400000000000000
2014-10-04,1962.0640000000000000
2014-10-11,1940.6300000000000000
2014-10-18,1872.8900000000000000
2014-10-25,1937.5600000000000000
2014-11-01,1988.3360000000000000
2014-11-08,2023.3220000000000000
2014-11-15,2039.0680000000000000
2014-11-22,2051.6180000000000000
2014-11-29,2069.2075000000000000
2014-12-06,2068.3220000000000000
2014-12-13,2036.7860000000000000
2014-12-20,2021.4280000000000000
2014-12-27,2082.8400000000000000
2015-01-03,2072.0050000000000000
2015-01-10,2031.2080000000000000
2015-01-17,2014.9300000000000000
2015-01-24,2042.4100000000000000
2015-01-31,2021.0080000000000000
2015-02-07,2046.0760000000000000
2015-02-14,2073.8660000000000000
2015-02-21,2101.9425000000000000
2015-02-28,2110.8480000000000000
2015-03-07,2099.2000000000000000
2015-03-14,2056.6360000000000000
2015-03-21,2090.4680000000000000
2015-03-28,2074.8280000000000000
2015-04-04,2070.1950000000000000
2015-04-11,2086.4180000000000000
2015-04-18,2096.2140000000000000
2015-04-25,2107.2540000000000000
2015-05-02,2104.8660000000000000
2015-05-09,2097.6400000000000000
2015-05-16,2109.3520000000000000
2015-05-23,2127.9520000000000000
2015-05-30,2113.9650000000000000
2015-06-06,2104.8140000000000000
2015-06-13,2093.5200000000000000
2015-06-20,2102.4780000000000000
2015-06-27,2111.8860000000000000
2015-07-04,2068.7375000000000000
2015-07-11,2064.9420000000000000
2015-07-18,2113.3760000000000000
2015-07-25,2108.6880000000000000
2015-08-01,2096.3860000000000000
2015-08-08,2090.4660000000000000
2015-08-15,2089.8460000000000000
2015-08-22,2057.1180000000000000
2015-08-29,1935.5720000000000000
2015-09-05,1941.4480000000000000
2015-09-12,1956.1975000000000000
