DATE,DSPIC96
1979-04-01,4874.6
1979-05-01,4851.9
1979-06-01,4839.3
1979-07-01,4874.3
1979-08-01,4881.1
1979-09-01,4876.5
1979-10-01,4873.6
1979-11-01,4886.8
1979-12-01,4896.6
1980-01-01,4930.4
1980-02-01,4904.0
1980-03-01,4873.2
1980-04-01,4867.9
1980-05-01,4850.1
1980-06-01,4860.6
1980-07-01,4903.4
1980-08-01,4908.7
1980-09-01,4930.0
1980-10-01,4968.9
1980-11-01,4976.5
1980-12-01,4999.8
1981-01-01,4980.4
1981-02-01,4965.0
1981-03-01,4979.0
1981-04-01,4965.1
1981-05-01,4974.8
1981-06-01,5001.9
1981-07-01,5080.8
1981-08-01,5095.9
1981-09-01,5087.2
1981-10-01,5093.8
1981-11-01,5096.9
1981-12-01,5090.2
1982-01-01,5096.9
1982-02-01,5110.8
1982-03-01,5110.0
1982-04-01,5160.6
1982-05-01,5139.0
1982-06-01,5110.7
1982-07-01,5157.0
1982-08-01,5164.7
1982-09-01,5162.4
1982-10-01,5156.3
1982-11-01,5176.1
1982-12-01,5200.2
1983-01-01,5217.2
1983-02-01,5218.8
1983-03-01,5243.3
1983-04-01,5254.4
1983-05-01,5264.8
1983-06-01,5268.9
1983-07-01,5335.3
1983-08-01,5325.3
1983-09-01,5364.1
1983-10-01,5412.5
1983-11-01,5459.7
1983-12-01,5509.4
1984-01-01,5535.1
1984-02-01,5568.2
1984-03-01,5605.1
1984-04-01,5643.8
1984-05-01,5652.5
1984-06-01,5690.2
1984-07-01,5697.4
1984-08-01,5736.2
1984-09-01,5777.0
1984-10-01,5755.4
1984-11-01,5780.3
1984-12-01,5815.5
1985-01-01,5813.6
1985-02-01,5759.7
1985-03-01,5733.0
1985-04-01,5828.1
1985-05-01,5970.2
1985-06-01,5844.8
1985-07-01,5857.2
1985-08-01,5852.9
1985-09-01,5877.9
1985-10-01,5907.0
1985-11-01,5915.8
1985-12-01,5951.1
1986-01-01,5961.6
1986-02-01,5992.4
1986-03-01,6053.6
1986-04-01,6076.8
1986-05-01,6082.8
1986-06-01,6078.3
1986-07-01,6110.2
1986-08-01,6119.3
1986-09-01,6124.9
1986-10-01,6121.2
1986-11-01,6125.2
1986-12-01,6135.8
1987-01-01,6159.5
1987-02-01,6192.1
1987-03-01,6200.0
1987-04-01,5967.2
1987-05-01,6209.1
1987-06-01,6200.8
1987-07-01,6218.1
1987-08-01,6244.2
1987-09-01,6244.3
1987-10-01,6284.5
1987-11-01,6308.9
1987-12-01,6365.4
1988-01-01,6378.8
1988-02-01,6416.0
1988-03-01,6442.2
1988-04-01,6464.3
1988-05-01,6473.4
1988-06-01,6497.4
1988-07-01,6524.5
1988-08-01,6542.8
1988-09-01,6555.5
1988-10-01,6590.4
1988-11-01,6592.6
1988-12-01,6625.1
1989-01-01,6653.4
1989-02-01,6673.2
1989-03-01,6706.7
1989-04-01,6672.3
1989-05-01,6641.7
1989-06-01,6660.5
1989-07-01,6683.9
1989-08-01,6701.6
1989-09-01,6721.7
1989-10-01,6754.8
1989-11-01,6761.3
1989-12-01,6761.4
1990-01-01,6801.0
1990-02-01,6815.1
1990-03-01,6816.9
